Cód. Grundfos;Cód. Prov.;Modelo;Descripción;Proveedor;Frecuencia;TP;Moneda TP;GRP;Moneda GRP;PL;Moneda PL;Familia;Tipo de Producto;Línea
165210;;;;Grundfos DK;;29.49;€;;;;;;;
165510;;;;Grundfos DK;;20.39;€;;;;;;;
165810;;;;Grundfos DK;;22.77;€;;;;;;;
165810;;;;Grundfos DK;;22.77;€;;;;;;;
167000;;;;Grundfos DK;;31.94;€;;;;;;;
167010;;;;Grundfos DK;;19.30;€;;;;;;;
167010;;;;Grundfos DK;;19.30;€
167020;;;;Grundfos DK;;26.23;€
167020;;;;Grundfos DK;;26.23;€
167060;;;;Grundfos DK;;35.92;€
